Time,BtoB
08/08/2017 14:04:52.420,6000
,7720
,2110
,2710
,2020
,3370
,1800
,1380
,1820
,5310
,3300
,4420
,3200
,4140
,2170
,3110
,3410
,3230
,2940
,3380
,3570
,2790
,3420
,3510
,3410
,3850
,3650
,3480
,3540
,3150
,3760
,3630
,3420
,3750
,3700
,3440
,3670
,3780
,3270
,3850
,3780
,4070
,3300
,3810
,3320
,3010
,3550
,4130
,3520
,3400
,3770
,3600
,3860
,3840
,3620
,3770
,4200
,2980
,4290
,3780
,3760
,10060
,3220
,3890
,3860
,4890
,5780
,3700
,4100
,3110
,4430
,3580
,3130
,3670
,4030
,3870
,4260
,3070
,11330
,2530
,4830
,3250
,2710
,4530
,2180
,2950
,4700
,10370
,2790
,4760
,5700
,5620
,1040
,2900
,1020
,1150
,3550
,7930
,4650
,4860
,4460
,1580
,1160
,2920
,6330
,3030
,3520
,4050
,2900
,5600
,8640
,3810
,2670
,1770
,2410
,2020
,3050
,3040
,4320
,2220
,2110
,3660
,4210
,4980
,4670
,4760
,5130
,4370
,3240
,3230
,2900
,3090
,3900
,4360
,15180
,4500
,3330
,3560
,3220
,3540
,3550
,5290
,3690
,3090
,3540
,3790
,3080
,4390
,3040
,3690
,3150
,3820
,3910
,3970
,3680
,4160
,3450
,3810
,4180
,3640
,3550
,3540
,3350
,3630
,4160
,3980
,3930
,4430
,3730
,4580
,3570
,4120
,3860
,3770
,3570
,4560
,3930
,3860
,3390
,4050
,4780
,3820
,15850
,4260
,4540
,4850
,4340
,4670
,1680
,1990
,3960
,4220
,3920
,4140
,3960
,3530
,3730
,2740
,3730
,1830
,2200
,4110
,1940
,2420
,4080
,3810
,3140
,4310
,3430
,4580
,4150
,3630
,4100
,4180
,4680
,3760
,3580
,3530
,4430
,4210
,3320
,3700
,3800
,3340
,3780
,3590
,3540
,3800
,4500
,6060
,5550
,3600
,3700
,4010
,3030
,4320
,3510
,4240
,3420
,3850
,3490
,3950
,3640
,3750
,5380
,3280
,3690
,3510
,3540
,12530
,3990
,3440
,3360
,8970
,4610
,16070
,9950
,6400
,6210
,6700
,8750
,4040
,8280
,9460
,5600
,6400
,11660
,6170
,10670
,6810
,7810
,6100
,3410
,7960
,12010
,14540
,14740
,6830
,6240
,5750
,4840
,5770
,2760
,6450
,6540
,5850
,5260
,5380
,5230
,3930
,600
,10040
,5510
,5900
,5230
,5090
,2840
,10920
,3490
,2230
,4500
,9840
,10440
,10340
,10250
,9640
,9880
,9130
,10880
,9240
,10600
,10040
,9700
,10410
,9940
,10330
,9550
,10270
,9820
,10340
,10140
,10050
,10020
,9770
,9960
,10280
,10040
,11760
,17160
,8720
,3580
,3640
,2680
,2900
,4340
,980
,1240
,3930
,6210
,6120
,4970
,1400
,3150
,3650
,2530
,5340
,4690
,2580
,7310
,3420
,3040
,5000
,3380
,4750
,5490
,8030
,6780
,3950
,3330
,5490
,2870
,2680
,4700
,3890
,4070
,2250
,2990
,5340
,4160
,4950
,3930
,4350
,650
,3700
,4030
,1650
,2780
,5040
,2970
,3950
,2930
,5770
,2910
,2820
,2570
,3820
,970
,2080
,6140
,7760
,2030
,450
,4190
,9680
