Time,BtoB
24/08/2017 14:05:40.418,6000
,1710
,5310
,15760
,2830
,1900
,1010
,4640
,2390
,2190
,3460
,560
,3660
,2500
,2790
,2550
,2910
,2500
,2170
,2590
,2430
,2310
,1890
,2310
,2310
,2120
,2450
,2640
,2300
,2290
,2560
,2690
,2160
,2380
,2310
,2270
,2870
,2480
,2050
,2180
,3100
,2420
,2420
,2420
,2630
,2400
,2470
,2580
,2290
,2210
,2430
,2520
,2760
,2690
,2160
,2380
,2680
,3900
,2540
,2460
,2160
,2230
,2430
,2000
,2710
,2500
,2720
,2290
,2630
,2480
,2420
,2430
,2610
,2910
,2610
,2640
,2530
,2520
,2490
,2320
,2220
,2790
,2670
,2470
,2570
,2220
,2510
,2210
,2450
,2130
,2410
,2260
,2260
,2370
,2130
,2190
,2790
,2420
,9420
,10980
,8420
,10610
,8240
,9100
,3080
,9720
,7860
,1840
,10340
,9650
,10030
,10150
,10450
,9420
,9650
,10250
,11070
,10050
,9620
,9480
,10190
,9590
,9800
,9180
,10810
,10340
,10590
,4660
,5060
,9790
,8730
,10130
,2350
,4130
,4140
,3120
,2830
,2790
,2530
,2570
,2150
,2690
,2200
,2160
,2270
,2310
,2400
,2590
,2230
,2110
,2240
,2260
,2220
,2160
,2430
,2410
,2400
,2430
,2610
,2600
,2370
,2640
,2820
,2570
,2400
,2120
,2520
,2580
,2570
,2440
,2860
,2670
,2550
,2410
,2190
,2310
,2240
,2450
,2400
,2520
,2420
,2560
,2340
,2560
,2340
,2270
,2540
,2450
,2300
,2470
,2190
,3780
,460
,3160
,3020
,2570
,2980
,2860
,3150
,3050
,2710
,2770
,2320
,2600
,2240
,2150
,2810
,2640
,2460
,2230
,2360
,2270
,2170
,2270
,2380
,2500
,2360
,2340
,2250
,2190
,2150
,2170
,5310
,2090
,4330
,5020
,3120
,2370
,1630
,2070
,760
,1920
,2170
,2260
,2520
,2500
,2740
,2680
,2740
,2100
,2800
,2330
,2310
,2380
,2430
,2270
,2560
,2280
,2220
,2040
,8180
,2390
,2650
,1420
,2720
,3520
,2400
,2470
,1980
,2160
,2410
,2200
,2250
,3330
,11140
,4330
,3050
,3570
,3420
,3640
,3760
,3250
,3380
,3180
,3140
,3340
,3250
,3330
,3200
,2950
,3260
,3350
,3330
,3610
,3450
,3750
,3280
,3590
,3660
,3180
,2680
,2760
,3650
,3490
,3210
,3410
,3210
,3140
,2970
,3390
,2930
,2510
,3370
,3250
,3020
,2470
,4470
,3340
,4550
,2580
,2740
,3960
,3130
,2210
,3090
,3300
,2860
,2950
,3440
,3430
,3070
,2370
,3530
,2630
,2990
,3030
,3020
,2820
,2610
,2730
,2600
,2740
,2710
,2520
,2700
,2780
,2770
,2510
,2430
,2740
,3130
,2840
,2640
,2700
,2880
,2650
,2590
,2590
,2530
,2470
,2390
,2590
,2660
,2430
,2650
,2510
,2550
,2540
,2440
,2650
,2630
,2560
,2370
,2500
,2420
,2590
,2620
,2420
,2550
,2420
,2510
,2680
,2680
,2730
,2680
,2470
,2570
,2690
,2490
,2360
,2670
,2450
,2550
,2550
,2320
,2530
,2660
,2850
,2550
,2400
,2570
,2480
,2660
,2920
,2530
,2620
,2300
,2470
,2380
,2530
,2580
,2500
,2430
,2780
,2500
,2620
,2460
,2710
,2550
,2470
,2530
,2580
,2390
,2390
,2560
,2580
,2670
,2280
,2800
,2320
,2520
,2490
,2450
,2490
,2840
,2530
,2580
,2430
,2590
,2580
,2680
,2480
,2580
,2530
,2810
,2580
,2600
,2490
,2610
,2370
,2310
,2600
,2180
,5680
,8690
,2490
,2620
,2600
,2570
,2330
,2440
,2400
,2430
,2490
,2240
,2100
,2720
,2890
,2510
,2280
,2720
,2260
,2610
,1830
,610
,2370
,2530
,2290
,2420
,2270
,2490
,2230
,2210
,2430
,2490
,2290
,2550
,2540
,2440
,2290
,2130
,2410
,2200
,2450
,2640
,2710
,2350
,2320
,2180
,2240
,2400
,2640
,2310
,2680
,2400
,2500
,2140
,2180
,2260
,2210
,2290
,2280
,2120
,2460
,2460
,2700
,2790
,2960
,2870
,2110
,2220
,2050
,2480
,2230
,2080
,2290
,2320
,2330
,2480
,2400
,2180
,2210
,2220
,2140
,2370
,2240
,2450
,2360
,2260
,2170
,2230
,2510
,2300
,2310
,2320
,2260
,2300
,2450
,2150
,2390
,4950
,2010
,3660
,3090
,430
,3720
,11510
